학년,카테고리,질문,메인버블,서브버블,CTA버블,어태치먼트확인용
HIGH_A-1,授業・カリキュラム,大学受験対策はどの科目に対応していますか？,3.14コミュニティでは、英語・数学・国語・理科・社会の主要5科目すべてに対応しています。,志望大学や入試形式（共通テスト・推薦など）に合わせてお子様専用のカリキュラム・プランをご提案いたします🧑‍🏫,詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！,"[{""type"":""main"",""text"":""3.14コミュニティでは、英語・数学・国語・理科・社会の主要5科目すべてに対応しています。"",""attachment"":null},{""type"":""sub"",""text"":""志望大学や入試形式（共通テスト・推薦など）に合わせてお子様専用のカリキュラム・プランをご提案いたします🧑‍🏫"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！"",""attachment"":null}]"
HIGH_A-2,授業・カリキュラム,難関大学向けの指導はありますか？,はい、ございます！3.14コミュニティでは、北海道大学をはじめとした難関大学志望の方向けに「難関国立大受験コース」「有名私立大受験コース」を用意しております。,また、さらに上のレベルを目指す方には、よりパーソナルなコーチングをご提供する「Brains Gym」もおすすめです☺️Brains Gymのサイトはこちら➡️ https://www.brainsgym.com/,ご興味がございましたら、いつでもご相談くださいね！,"[{""type"":""main"",""text"":""はい、ございます！3.14コミュニティでは、北海道大学をはじめとした難関大学志望の方向けに「難関国立大受験コース」「有名私立大受験コース」を用意しております。"",""attachment"":null},{""type"":""sub"",""text"":""また、さらに上のレベルを目指す方には、よりパーソナルなコーチングをご提供する「Brains Gym」もおすすめです☺️\n\nBrains Gymのサイトはこちら\n➡️ https://www.brainsgym.com/"",""attachment"":{""type"":""link"",""url"":""https://www.brainsgym.com/"",""title"":"""",""description"":"""",""thumbnail"":""""}},{""type"":""cta"",""text"":""ご興味がございましたら、いつでもご相談くださいね！"",""attachment"":null}]"
HIGH_A-3,授業・カリキュラム,定期テスト対策と受験対策は両立できますか？,もちろん可能です！3.14コミュニティでは、学校別の定期テスト対策と、大学受験に向けた長期的な指導を同時に行っています。,担任が学習スケジュールをしっかり管理し、どちらもバランスよくサポートいたしますのでご安心ください✨,他にもご不安な点があれば、お気軽にご相談くださいね！,"[{""type"":""main"",""text"":""もちろん可能です！3.14コミュニティでは、学校別の定期テスト対策と、大学受験に向けた長期的な指導を同時に行っています。"",""attachment"":null},{""type"":""sub"",""text"":""担任が学習スケジュールをしっかり管理し、どちらもバランスよくサポートいたしますのでご安心ください✨"",""attachment"":null},{""type"":""cta"",""text"":""他にもご不安な点があれば、お気軽にご相談くださいね！"",""attachment"":null}]"
HIGH_A-4,授業・カリキュラム,苦手な科目だけ受講することは可能ですか？,はい、可能です！3.14コミュニティの授業は『超・個人別指導』なので、必要な科目だけピンポイントで学習できます。,AI教材と講師の連携により、苦手分野を見える化し、効率的に克服していきます✏️,お気軽に無料体験からスタートしてみてくださいね！,"[{""type"":""main"",""text"":""はい、可能です！3.14コミュニティの授業は『超・個人別指導』なので、必要な科目だけピンポイントで学習できます。"",""attachment"":null},{""type"":""sub"",""text"":""AI教材と講師の連携により、苦手分野を見える化し、効率的に克服していきます✏️"",""attachment"":null},{""type"":""cta"",""text"":""お気軽に無料体験からスタートしてみてくださいね！"",""attachment"":null}]"
HIGH_A-5,授業・カリキュラム,高1・高2から受験対策を始められますか？,はい、むしろ高1・高2からのスタートが理想的です！3.14では志望校別の長期プランを設計し、早期から無理なく受験準備ができます。,また、推薦や総合型選抜などにも対応したサポート体制を整えています🧑‍🏫,タイミングに関するご相談も、お気軽にどうぞ！,"[{""type"":""main"",""text"":""はい、むしろ高1・高2からのスタートが理想的です！3.14では志望校別の長期プランを設計し、早期から無理なく受験準備ができます。"",""attachment"":null},{""type"":""sub"",""text"":""また、推薦や総合型選抜などにも対応したサポート体制を整えています🧑‍🏫"",""attachment"":null},{""type"":""cta"",""text"":""タイミングに関するご相談も、お気軽にどうぞ！"",""attachment"":null}]"
HIGH_B-1,通塾・学習時間,部活と両立できますか？,はい、もちろん可能です！3.14コミュニティでは、部活や学校生活と両立しながら学べる個別時間割を組むことができます。,授業がない日も自習スペースをご利用いただけるので、スキマ時間を有効に活用できます👀▶️ 時間割の例はこちら（image）,両立のご相談も大歓迎です。ぜひお気軽にご相談ください！,"[{""type"":""main"",""text"":""はい、もちろん可能です！3.14コミュニティでは、部活や学校生活と両立しながら学べる個別時間割を組むことができます。"",""attachment"":null},{""type"":""sub"",""text"":""授業がない日も自習スペースをご利用いただけるので、スキマ時間を有効に活用できます👀\n\n▶️ 時間割の例はこちら\n（image）"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/742ad511-c01a-43c9-b51b-c17d5c9ee43d.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/742ad511-c01a-43c9-b51b-c17d5c9ee43d.png""}},{""type"":""cta"",""text"":""両立のご相談も大歓迎です。ぜひお気軽にご相談ください！"",""attachment"":null}]"
HIGH_B-2,通塾・学習時間,自習室はいつでも使えますか？,はい、開校時間内であれば授業のない日でも自習室をご利用いただけます！,講師が近くにいる環境なので、わからないところをすぐに質問できるのも安心ポイントです❣️,どんどん活用して、学習リズムを整えていきましょう！,"[{""type"":""main"",""text"":""はい、開校時間内であれば授業のない日でも自習室をご利用いただけます！"",""attachment"":null},{""type"":""sub"",""text"":""講師が近くにいる環境なので、わからないところをすぐに質問できるのも安心ポイントです❣️"",""attachment"":null},{""type"":""cta"",""text"":""どんどん活用して、学習リズムを整えていきましょう！"",""attachment"":null}]"
HIGH_B-3,通塾・学習時間,通塾の時間帯は選べますか？,はい、ご希望の時間帯に合わせて、通塾スケジュールを個別に設定できます。,部活や学校の行事と両立できるよう、担任が最適な時間割をご提案いたします✨▶️ 時間割の例はこちら（image）,お気軽にご希望をお聞かせくださいね！,"[{""type"":""main"",""text"":""はい、ご希望の時間帯に合わせて、通塾スケジュールを個別に設定できます。"",""attachment"":null},{""type"":""sub"",""text"":""部活や学校の行事と両立できるよう、担任が最適な時間割をご提案いたします✨\n\n▶️ 時間割の例はこちら\n（image）"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/742ad511-c01a-43c9-b51b-c17d5c9ee43d.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/742ad511-c01a-43c9-b51b-c17d5c9ee43d.png""}},{""type"":""cta"",""text"":""お気軽にご希望をお聞かせくださいね！"",""attachment"":null}]"
HIGH_B-4,通塾・学習時間,授業の振替はできますか？,体調不良や急な予定変更などがあっても大丈夫です！🙆‍♀️,担任にご連絡いただければ、柔軟に振替対応させていただきますのでご安心ください✨,学びのリズムを崩さず続けられるよう、しっかりサポートいたします。,"[{""type"":""main"",""text"":""体調不良や急な予定変更などがあっても大丈夫です！🙆‍♀️"",""attachment"":null},{""type"":""sub"",""text"":""担任にご連絡いただければ、柔軟に振替対応させていただきますのでご安心ください✨"",""attachment"":null},{""type"":""cta"",""text"":""学びのリズムを崩さず続けられるよう、しっかりサポートいたします。"",""attachment"":null}]"
HIGH_B-5,通塾・学習時間,夏期・冬期講習はどのくらいの期間ありますか？,講習会は春・夏・冬にそれぞれ実施しており、期間はおおよそ1〜3週間程度です。,日程や受講内容は自由に選べるので、部活や帰省との両立も可能です✨,詳細なスケジュールはお気軽にお問い合わせください！,"[{""type"":""main"",""text"":""講習会は春・夏・冬にそれぞれ実施しており、期間はおおよそ1〜3週間程度です。"",""attachment"":null},{""type"":""sub"",""text"":""日程や受講内容は自由に選べるので、部活や帰省との両立も可能です✨"",""attachment"":null},{""type"":""cta"",""text"":""詳細なスケジュールはお気軽にお問い合わせください！"",""attachment"":null}]"
HIGH_C-1,料金・制度,授業料はいくらですか？学年や科目で変わりますか？,3.14コミュニティでは、授業受け放題の【定額制】を導入しています✨,受講科目であれば、どれだけ授業を受けても定額で必要な学習サポートが受けられるのが特徴です。▶️ 料金プランはこちら(image),詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！,"[{""type"":""main"",""text"":""3.14コミュニティでは、授業受け放題の【定額制】を導入しています✨"",""attachment"":null},{""type"":""sub"",""text"":""受講科目であれば、どれだけ授業を受けても定額で必要な学習サポートが受けられるのが特徴です。\n\n▶️ 料金プランはこちら\n(image)"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/b6f8eddd-4468-4d7a-8919-ed87fbc2e59e.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/b6f8eddd-4468-4d7a-8919-ed87fbc2e59e.png""}},{""type"":""cta"",""text"":""詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！"",""attachment"":null}]"
HIGH_C-2,料金・制度,教材費は別途かかりますか？,はい、教材費は別途ご案内しておりますが、必要な分のみをご提案しております。,お子様専用のカリキュラムに応じて、最適な教材を選定いたします📚,無理なく学べるように配慮していますのでご安心ください！,"[{""type"":""main"",""text"":""はい、教材費は別途ご案内しておりますが、必要な分のみをご提案しております。"",""attachment"":null},{""type"":""sub"",""text"":""お子様専用のカリキュラムに応じて、最適な教材を選定いたします📚"",""attachment"":null},{""type"":""cta"",""text"":""無理なく学べるように配慮していますのでご安心ください！"",""attachment"":null}]"
HIGH_C-3,料金・制度,無料体験はできますか？,はい！3.14コミュニティでは、体験授業や教室見学を随時受け付けております。,,実際の雰囲気や授業スタイルを体感してから入塾をご検討ください🙇‍♂,"[{""type"":""main"",""text"":""はい！3.14コミュニティでは、体験授業や教室見学を随時受け付けております。"",""attachment"":null},{""type"":""cta"",""text"":""実際の雰囲気や授業スタイルを体感してから入塾をご検討ください🙇‍♂"",""attachment"":null}]"
